dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,Log Loss__train,AUC__train,Accuracy__train,F1__train,time__val,Log Loss__val,AUC__val,Accuracy__val,F1__val,time__test,Log Loss__test,AUC__test,Accuracy__test,F1__test,time__train-eval
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_8_s0,8,CatBoost__seed_0__trial_8,62.36598018299992,0.5586725996196903,0.9795248016363867,0.7925,0.7937561078326231,0.011341453999989426,0.7475381270187823,0.9717037037037037,0.76,0.7609584859584859,0.00791045000005397,0.9874087108262535,0.9346358024691357,0.68,0.6795998445998447,0.027383115000020553
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_9_s0,9,CatBoost__seed_0__trial_9,28.449298532000057,0.6025472052211989,0.975839566550417,0.79,0.7901565072780323,0.007796793000125035,0.6825277340112695,0.9787037037037039,0.8,0.7991452991452991,0.009496912000031443,0.8940031314150381,0.9459074074074073,0.7,0.6895204795204795,0.022789353000007395
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,default,0,XGBoost__seed_0__trial_0,7.352529088000001,0.5884519163745465,0.9758097661242857,0.7875,0.7910304716899962,2.5253682349999984,0.6890709387922643,0.9769259259259259,0.76,0.7613780663780665,2.4623654240000015,0.8560844089963006,0.948962962962963,0.76,0.7570606060606062,2.084447921999999
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_1_s0,1,XGBoost__seed_0__trial_1,5.97440890499999,0.5873791103771474,0.975459808872562,0.7875,0.7895641692963484,2.5638185440000143,0.68728059130928,0.9778518518518517,0.78,0.7807614607614607,2.4901184459999968,0.8630314641149142,0.9469938271604937,0.74,0.730112554112554,2.1999297449999915
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_10_s0,10,XGBoost__seed_0__trial_10,5.252865633000056,0.5675245728987007,0.9769540177526645,0.7925,0.7960438838539399,2.5274517380000816,0.7007924370806039,0.9765555555555555,0.76,0.7613780663780665,2.5189629059998424,0.8555885371938646,0.9467160493827161,0.76,0.7570606060606062,2.0898640529999284
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_11_s0,11,XGBoost__seed_0__trial_11,5.129190416000029,0.5966355864840623,0.97462334347056,0.785,0.7867012030207947,2.5490772690000085,0.6933401773020844,0.9782592592592593,0.78,0.7807614607614607,2.544431958000132,0.8504191419648844,0.9488271604938272,0.74,0.730112554112554,2.3314218749999327
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_12_s0,12,XGBoost__seed_0__trial_12,5.472723723999934,0.6003249509373147,0.9744227915424274,0.7825,0.7842024837205507,2.7126328150000063,0.6801365792586652,0.9782592592592593,0.8,0.7991452991452991,2.305359056000043,0.8486239599649437,0.9499382716049383,0.74,0.730112554112554,2.2345605460000115
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_13_s0,13,XGBoost__seed_0__trial_13,5.183808664000026,0.5619187020749523,0.9773408146794444,0.79,0.7934854384205806,2.400586538000198,0.7138843956152209,0.9744814814814815,0.76,0.7613780663780665,2.430951391000008,0.8544387855099681,0.9476851851851852,0.76,0.7570606060606062,2.1059574849998626
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_14_s0,14,XGBoost__seed_0__trial_14,6.710943761999943,0.6007483510005975,0.9754948820192959,0.785,0.7887456528075434,2.438013589000093,0.684362283167556,0.9772962962962962,0.76,0.7613780663780665,2.4517125170000327,0.8456644356507028,0.9488148148148148,0.76,0.7570606060606062,1.9980672230001346
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_15_s0,15,XGBoost__seed_0__trial_15,6.003468959999964,0.5831567988187306,0.9764418578062403,0.79,0.7934854384205806,2.4706711070000438,0.6977047900766239,0.9772962962962962,0.76,0.7613780663780665,2.53980043699994,0.8618109658159747,0.9477160493827161,0.76,0.7570606060606062,2.062735729999986
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_16_s0,16,XGBoost__seed_0__trial_16,6.841597380000167,0.6115443146017661,0.9740350964222505,0.78,0.7797457470064887,2.4410743999997067,0.680115279969563,0.9782592592592593,0.8,0.7991452991452991,2.936858245000167,0.839386181995603,0.9517037037037037,0.72,0.7077022977022978,2.146989799000039
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_17_s0,17,XGBoost__seed_0__trial_17,6.78215912099995,0.6045462025140341,0.9743313519622437,0.7825,0.7824037543932312,2.5716661480000766,0.6800777193762554,0.9778888888888889,0.8,0.7991452991452991,2.452149681999799,0.8467160401146928,0.9498271604938272,0.72,0.7077022977022978,2.091163284000231
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_18_s0,18,XGBoost__seed_0__trial_18,6.642426111000077,0.5932737383677563,0.9757640457109934,0.7875,0.7910304716899962,2.5018955820000883,0.6921704160298967,0.9769259259259259,0.76,0.7613780663780665,2.5391993879998154,0.8603534485016969,0.9413086419753085,0.76,0.7570606060606062,2.111714577999919
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_19_s0,19,XGBoost__seed_0__trial_19,6.439349119999861,0.6570958330394149,0.970158619346667,0.78,0.7797113202145465,2.47433928800001,0.6893577478180033,0.9680555555555557,0.82,0.8213675213675213,2.4262438499999917,0.79276104763807,0.9593703703703704,0.7,0.6920259740259741,2.3698473290000948
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_2_s0,2,XGBoost__seed_0__trial_2,5.927211479999983,0.5839865706856745,0.975567933396997,0.7875,0.7877654399690289,2.629675311000028,0.6896805584618643,0.9772962962962962,0.78,0.7807614607614607,2.8707509460000438,0.8680037212311755,0.9469938271604937,0.72,0.7077022977022978,2.4268379069999924
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_20_s0,20,XGBoost__seed_0__trial_20,5.23324189799996,0.5922691125629672,0.9757052013781821,0.785,0.7882413927756279,2.5262175319999187,0.697928441088989,0.9776666666666666,0.76,0.7613780663780665,2.9866200559999925,0.8488153179702155,0.9467160493827161,0.76,0.7545151515151517,2.1050815580001654
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_21_s0,21,XGBoost__seed_0__trial_21,7.053625136999926,0.6577076307380029,0.9702361535768455,0.78,0.7797113202145465,2.6002109870000822,0.6903407525586865,0.9680555555555557,0.8,0.8003418803418804,2.505744242000219,0.7916135881641124,0.9602962962962962,0.7,0.6920259740259741,2.1188883859999805
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_22_s0,22,XGBoost__seed_0__trial_22,5.15058106000015,0.5880756141901837,0.9749568973569868,0.785,0.7867725909962746,2.486661290000029,0.6835790582177469,0.9795185185185186,0.78,0.7807614607614607,2.539834042000166,0.8697651928905472,0.9490123456790125,0.72,0.7112034632034633,1.9808014400000502
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_23_s0,23,XGBoost__seed_0__trial_23,7.097158557000057,0.6099464634819192,0.9743875288743502,0.7825,0.7825687232670284,2.8323892700000215,0.6809021342271275,0.9790740740740742,0.78,0.7807614607614607,2.05639653299977,0.8425393780232775,0.9468086419753086,0.72,0.7077022977022978,2.0193232329997954
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_24_s0,24,XGBoost__seed_0__trial_24,6.713642058000005,0.5994259934663101,0.9756262036339424,0.7875,0.7912865996501126,2.48817361600004,0.6916003129210353,0.9777407407407408,0.76,0.7613780663780665,2.478396141000303,0.8580362330445496,0.9476419753086421,0.76,0.7570606060606062,2.04163511500019
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,XGBoost,random_25_s0,25,XGBoost__seed_0__trial_25,6.418937671000094,0.5876698360486925,0.9763481067800613,0.79,0.7934854384205806,2.5732285070002945,0.6968912917288105,0.9772962962962962,0.76,0.7613780663780665,2.0674007930001608,0.8622456546481135,0.9443086419753086,0.76,0.7570606060606062,2.5614761950000684
