dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,MSE__train,R2__train,time__val,MSE__val,R2__val,time__test,MSE__test,R2__test,time__train-eval
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_6_s0,6,XGBoost__seed_0__trial_6,15.402727583999877,2120.1799004526415,0.7249008285520504,4.626062370999989,2310.9240306961765,0.6938718773757966,4.1778163300000415,2442.777153585679,0.6913622663313923,12.000618159000169
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_7_s0,7,XGBoost__seed_0__trial_7,13.070950770999843,2652.626139997154,0.6558144650278983,3.3623512019999,2573.7374772765875,0.659056978256062,4.062247446999663,2775.05268016513,0.6493802274350113,7.885934112000086
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_8_s0,8,XGBoost__seed_0__trial_8,14.656636053000057,2083.8964486947943,0.7296087061777766,3.8850780140001007,2316.385540634747,0.6931483911157639,3.404140255999664,2440.8499893849207,0.6916057578797131,8.009519522000119
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_9_s0,9,XGBoost__seed_0__trial_9,13.439202310999462,2905.932357079291,0.6229472869044601,3.6387140629994974,2808.4403125607296,0.6279658920127522,4.380053570999735,3029.723393415013,0.6172033292460644,8.04683317999934
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_1_s0,1,CatBoost__seed_0__trial_1,52.64538999299998,2344.123780566009,0.6968378128274781,1.5940638550000017,2351.653921200573,0.6951118110232147,1.858149353000016,2316.9009546461443,0.6930801142180436,14.221533663999992
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_10_s0,10,CatBoost__seed_0__trial_10,25.773832452000534,2556.0484088282374,0.6694299027365751,0.7175195370000438,2518.7586654129186,0.6734469468299662,0.8122572669999499,2469.77747873613,0.6728285599949987,5.0248276319998695
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_11_s0,11,CatBoost__seed_0__trial_11,22.570955715999844,2652.1689872232873,0.6569987653452318,0.9855403399997158,2616.089765691441,0.6608281245502462,0.7624171999996179,2554.1275516245446,0.6616547052453183,4.585780776999854
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_12_s0,12,CatBoost__seed_0__trial_12,64.82673970799988,2357.6735723585516,0.6950854375691342,1.7345845970012306,2359.8009271685182,0.6940555646628311,1.7463548370014905,2324.815167646974,0.6920317183660769,13.87492865599961
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_13_s0,13,CatBoost__seed_0__trial_13,32.36281509000037,2463.64055868491,0.6813808782753317,1.0171767649990215,2432.5784470097556,0.6846200750176163,1.026691397999457,2388.6623505352413,0.6835738815991359,6.565899258001082
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_14_s0,14,CatBoost__seed_0__trial_14,72.50786807999975,2340.1651375996107,0.6973497784795815,2.187046568000369,2345.4312588828443,0.6959185692913267,2.348202332001165,2315.449380657223,0.6932724042345807,16.862311171998954
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_15_s0,15,CatBoost__seed_0__trial_15,32.35241531099928,2450.0690807206383,0.6831360581753534,1.0719561549994978,2421.5572629645862,0.6860489539923746,1.0281160550002824,2380.0411937905355,0.6847159262938336,7.131870520999655
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_16_s0,16,CatBoost__seed_0__trial_16,41.13418408100006,2443.4001384551293,0.6839985429724875,1.2000507089996972,2417.5843008121046,0.6865640422137422,1.3021965330008243,2369.9401546995346,0.686054011013369,8.635845299999346
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_17_s0,17,CatBoost__seed_0__trial_17,43.199820554000326,2430.1758564040297,0.6857088205199597,1.2687642649998452,2408.1014176968665,0.6877934829206501,1.0123213040005794,2360.889392728535,0.6872529655154198,9.168667755999195
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_18_s0,18,CatBoost__seed_0__trial_18,41.83539001399913,2401.599807843793,0.6894045201472967,1.3626594010002009,2381.9756176098595,0.6911806513310558,1.3543777729992144,2341.7408132070163,0.6897895779795158,9.309310065998943
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_19_s0,19,CatBoost__seed_0__trial_19,62.7851014150001,2368.0307533032756,0.6937459581209175,1.7087845320002089,2367.5460876221036,0.6930514169339754,1.7864910879998206,2330.004180291846,0.6913443298244599,13.655209073000151
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_2_s0,2,CatBoost__seed_0__trial_2,21.585390375999964,2604.0095602433175,0.6632271553889937,0.45999987799996234,2568.056032264027,0.6670556216587498,0.7186501300000145,2513.4607034109117,0.6670418429146308,5.092705477999971
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_20_s0,20,CatBoost__seed_0__trial_20,86.54937818899998,2278.586804344392,0.705313616544303,3.403535355000713,2320.9785702596937,0.6990888214626664,2.9713740369988955,2310.692413856447,0.6939025596601871,24.091132625000682
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_21_s0,21,CatBoost__seed_0__trial_21,28.795374635999906,2556.8350899836723,0.6693281623840961,0.9073504259995389,2523.633398099693,0.6728149454937076,0.9435783519984398,2464.8017324672583,0.6734876971382847,6.512760589999743
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_22_s0,22,CatBoost__seed_0__trial_22,39.94791951500156,2443.3691917475976,0.6840025452660605,1.3138917430005677,2419.2065530074424,0.6863537197979135,1.2340641460014012,2370.55795648003,0.6859721708071551,8.64237545099968
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_23_s0,23,CatBoost__seed_0__trial_23,97.96609239700047,2236.834271509097,0.7107134121008688,3.929618293997919,2315.175169140798,0.6998412231834701,4.0069135740013735,2307.3490001242226,0.6943454617008454,26.87603569500061
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_24_s0,24,CatBoost__seed_0__trial_24,61.29937744700146,2320.3938391116835,0.6999067723305603,2.018999363997864,2335.619030053621,0.6971907091460041,1.9605586780016893,2313.284893269528,0.6935591338940751,16.40003145800074
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_25_s0,25,CatBoost__seed_0__trial_25,51.53217750600015,2334.6234248478927,0.698066480290476,1.6473817139994935,2347.902711572808,0.6955981493826012,1.6168534009993891,2322.9742175781,0.6922755890346681,12.375625112999842
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_26_s0,26,CatBoost__seed_0__trial_26,45.117348086001584,2435.3669193711744,0.6850374677458797,1.3233265000017127,2409.1322049321775,0.687659842995761,1.3957414409997,2365.07024259738,0.6866991283038446,12.50194520399964
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_27_s0,27,CatBoost__seed_0__trial_27,76.29357313900255,2312.1764595006916,0.7009695143224076,2.7200795259996084,2335.5587469556554,0.697198524753734,2.8416467030001513,2308.7991351187065,0.6941533623079115,21.93515572799879
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_28_s0,28,CatBoost__seed_0__trial_28,47.11885183800041,2374.5483141076916,0.692903051272364,1.4241562099996372,2365.9274050598015,0.6932612765525611,1.8938647310023953,2333.6429495954258,0.6908623020291836,11.090657879998616
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_29_s0,29,CatBoost__seed_0__trial_29,31.941163487997983,2449.141668639573,0.683255999057843,1.0087224729977606,2420.0011689454823,0.6862506991059243,1.0500493869985803,2380.3277104885215,0.6846779714248332,7.170166055999289
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_3_s0,3,CatBoost__seed_0__trial_3,54.31555654299996,2332.9156825634127,0.6982873401658726,1.9398618029999852,2350.0139709246077,0.6953244279670361,1.8655459629999314,2319.0754794316676,0.6927920549043882,15.03021039400005
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_4_s0,4,CatBoost__seed_0__trial_4,43.200089899999966,2377.7361423862394,0.6924907739851032,1.5521787669999867,2368.0487223648465,0.6929862511393616,1.386241087000144,2337.922029850991,0.6902954522375875,10.232134633999976
openml__fps-in-video-games__362129__fold_1,openml__fps-in-video-games__362129,regression,CatBoost,random_5_s0,5,CatBoost__seed_0__trial_5,78.65223499900003,2264.7319536988275,0.7071054446292704,2.6848545950001608,2330.074938535247,0.6979094917897086,2.4546294540000417,2307.1749755509427,0.6943685147372936,21.39631250100001
